Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ralstonia solanacearum strain T51 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1883756,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022771.1?report=genbank&log$=nucltop&blast_rank=11&RID=UUT1BJ82013"",""CP022771.1"")"
"Ralstonia solanacearum strain T82 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1988569,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022764.1?report=genbank&log$=nucltop&blast_rank=12&RID=UUT1BJ82013"",""CP022764.1"")"
"Ralstonia solanacearum strain T95 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1884412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022762.1?report=genbank&log$=nucltop&blast_rank=13&RID=UUT1BJ82013"",""CP022762.1"")"
"Ralstonia solanacearum strain T98 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1986282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022760.1?report=genbank&log$=nucltop&blast_rank=14&RID=UUT1BJ82013"",""CP022760.1"")"
"Ralstonia solanacearum strain T101 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1988531,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022758.1?report=genbank&log$=nucltop&blast_rank=15&RID=UUT1BJ82013"",""CP022758.1"")"
"Ralstonia solanacearum strain KACC 10722 plasmid, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1883432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP014703.1?report=genbank&log$=nucltop&blast_rank=16&RID=UUT1BJ82013"",""CP014703.1"")"
Ralstonia sp. isolate bin465 chromosome,Ralstonia sp.,54061,57.2,57.2,30%,4e-04,86.96,4795847,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP070721.1?report=genbank&log$=nucltop&blast_rank=17&RID=UUT1BJ82013"",""CP070721.1"")"
"Ralstonia syzygii subsp. celebesensis strain UGMSS_Db01 chromosome, complete genome",Ralstonia syzygii subsp. celebesensis,1310168,57.2,57.2,30%,4e-04,86.96,3570277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP068285.1?report=genbank&log$=nucltop&blast_rank=18&RID=UUT1BJ82013"",""CP068285.1"")"
"Ralstonia syzygii R24, genomic contig 00001-1629",Ralstonia syzygii R24,907261,57.2,57.2,30%,4e-04,86.96,916373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FR854090.1?report=genbank&log$=nucltop&blast_rank=19&RID=UUT1BJ82013"",""FR854090.1"")"
"Ralstonia solanacearum PSI07 megaplasmid mpPSI07, complete sequence",Ralstonia solanacearum PSI07,859657,57.2,57.2,30%,4e-04,86.96,2085000,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FP885891.2?report=genbank&log$=nucltop&blast_rank=20&RID=UUT1BJ82013"",""FP885891.2"")"



		


