Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Sinorhizobium meliloti strain KH46 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3699865,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021822.1?report=genbank&log$=nucltop&blast_rank=13&RID=UUVAKDDR01R"",""CP021822.1"")"
"Sinorhizobium meliloti strain M162 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3817269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021818.1?report=genbank&log$=nucltop&blast_rank=14&RID=UUVAKDDR01R"",""CP021818.1"")"
"Sinorhizobium meliloti strain M270 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3504252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021812.1?report=genbank&log$=nucltop&blast_rank=15&RID=UUVAKDDR01R"",""CP021812.1"")"
"Sinorhizobium meliloti strain Rm41 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3678504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021808.1?report=genbank&log$=nucltop&blast_rank=16&RID=UUVAKDDR01R"",""CP021808.1"")"
"Sinorhizobium meliloti strain T073 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3814348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021804.1?report=genbank&log$=nucltop&blast_rank=17&RID=UUVAKDDR01R"",""CP021804.1"")"
"Sinorhizobium meliloti strain USDA1021 plasmid psymB, complete sequence",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,2011522,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021802.1?report=genbank&log$=nucltop&blast_rank=18&RID=UUVAKDDR01R"",""CP021802.1"")"
"Sinorhizobium meliloti RU11/001 chromosome, complete genome",Sinorhizobium meliloti RU11/001,1401243,133,133,90%,7e-27,81.62,3938685,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021219.1?report=genbank&log$=nucltop&blast_rank=19&RID=UUVAKDDR01R"",""CP021219.1"")"
"Sinorhizobium meliloti strain USDA1106 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3671869,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021797.1?report=genbank&log$=nucltop&blast_rank=20&RID=UUVAKDDR01R"",""CP021797.1"")"
"Sinorhizobium meliloti strain USDA1157 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3791696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP021793.1?report=genbank&log$=nucltop&blast_rank=21&RID=UUVAKDDR01R"",""CP021793.1"")"
"Sinorhizobium meliloti GR4, complete genome",Sinorhizobium meliloti GR4,1235461,133,133,90%,7e-27,81.62,3620713,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP003933.2?report=genbank&log$=nucltop&blast_rank=22&RID=UUVAKDDR01R"",""CP003933.2"")"
"Sinorhizobium meliloti strain RMO17, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3649532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009144.1?report=genbank&log$=nucltop&blast_rank=23&RID=UUVAKDDR01R"",""CP009144.1"")"
"Sinorhizobium meliloti strain L6-AK89 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3580141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP085525.1?report=genbank&log$=nucltop&blast_rank=24&RID=UUVAKDDR01R"",""CP085525.1"")"
"Sinorhizobium meliloti 2011, complete genome",Sinorhizobium meliloti 2011,1286640,133,133,90%,7e-27,81.62,3657276,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP004140.1?report=genbank&log$=nucltop&blast_rank=25&RID=UUVAKDDR01R"",""CP004140.1"")"
Sinorhizobium meliloti Rm41 complete genome,Sinorhizobium meliloti Rm41,1230587,133,133,90%,7e-27,81.62,3679105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HE995405.1?report=genbank&log$=nucltop&blast_rank=26&RID=UUVAKDDR01R"",""HE995405.1"")"
"Sinorhizobium meliloti strain AK76 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3580177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP066359.1?report=genbank&log$=nucltop&blast_rank=27&RID=UUVAKDDR01R"",""CP066359.1"")"
"Sinorhizobium meliloti strain S35m chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3610844,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP065020.1?report=genbank&log$=nucltop&blast_rank=28&RID=UUVAKDDR01R"",""CP065020.1"")"
"Sinorhizobium meliloti strain RCAM1115 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,4003712,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP050558.1?report=genbank&log$=nucltop&blast_rank=29&RID=UUVAKDDR01R"",""CP050558.1"")"
"Sinorhizobium meliloti strain RCAM1750 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7e-27,81.62,3602000,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP050511.1?report=genbank&log$=nucltop&blast_rank=30&RID=UUVAKDDR01R"",""CP050511.1"")"
"Sinorhizobium meliloti SM11, complete genome",Sinorhizobium meliloti SM11,707241,133,133,90%,7e-27,81.62,3908022,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP001830.1?report=genbank&log$=nucltop&blast_rank=31&RID=UUVAKDDR01R"",""CP001830.1"")"
"Sinorhizobium meliloti AK83 chromosome 1, complete sequence",Sinorhizobium meliloti AK83,693982,133,133,90%,7e-27,81.62,3820344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP002781.1?report=genbank&log$=nucltop&blast_rank=32&RID=UUVAKDDR01R"",""CP002781.1"")"
"Sinorhizobium meliloti BL225C, complete genome",Sinorhizobium meliloti BL225C,698936,133,133,90%,7e-27,81.62,3671982,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP002740.1?report=genbank&log$=nucltop&blast_rank=33&RID=UUVAKDDR01R"",""CP002740.1"")"
Sinorhizobium meliloti 1021 complete chromosome,Sinorhizobium meliloti 1021,266834,133,133,90%,7e-27,81.62,3654135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AL591688.1?report=genbank&log$=nucltop&blast_rank=34&RID=UUVAKDDR01R"",""AL591688.1"")"
"Ensifer mexicanus strain ITTG R7 chromosome, complete genome",Ensifer mexicanus,375549,132,132,91%,7e-27,81.16,4316340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP041238.1?report=genbank&log$=nucltop&blast_rank=35&RID=UUVAKDDR01R"",""CP041238.1"")"
"Ensifer sojae CCBAU 05684 chromosome, complete genome",Ensifer sojae CCBAU 05684,716928,128,128,91%,3e-25,80.43,3672259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023067.1?report=genbank&log$=nucltop&blast_rank=36&RID=UUVAKDDR01R"",""CP023067.1"")"
"Ensifer sp. PDNC004 chromosome, complete genome",Ensifer sp. PDNC004,2811423,128,128,91%,3e-25,80.43,4152503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP070353.1?report=genbank&log$=nucltop&blast_rank=37&RID=UUVAKDDR01R"",""CP070353.1"")"
"Ensifer alkalisoli strain YIC4027 chromosome 1, complete sequence",Ensifer alkalisoli,1752398,120,120,90%,4e-23,79.41,3690234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP034909.1?report=genbank&log$=nucltop&blast_rank=38&RID=UUVAKDDR01R"",""CP034909.1"")"
"Sinorhizobium fredii CCBAU 25509 chromosome, complete genome",Sinorhizobium fredii CCBAU 25509,1128330,115,115,90%,2e-21,78.68,4198614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP029451.1?report=genbank&log$=nucltop&blast_rank=39&RID=UUVAKDDR01R"",""CP029451.1"")"
"Sinorhizobium fredii CCBAU 45436 chromosome, complete genome",Sinorhizobium fredii CCBAU 45436,1128331,115,115,90%,2e-21,78.68,4162966,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP029231.1?report=genbank&log$=nucltop&blast_rank=40&RID=UUVAKDDR01R"",""CP029231.1"")"
"Sinorhizobium fredii HH103 main chromosome, complete sequence",Sinorhizobium fredii HH103,1117943,115,115,90%,2e-21,78.68,4305723,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HE616890.1?report=genbank&log$=nucltop&blast_rank=41&RID=UUVAKDDR01R"",""HE616890.1"")"
"Sinorhizobium fredii strain NXT3 chromosome, complete genome",Sinorhizobium fredii,380,114,114,91%,2e-21,78.26,3967005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP024307.1?report=genbank&log$=nucltop&blast_rank=42&RID=UUVAKDDR01R"",""CP024307.1"")"
"Sinorhizobium sp. CCBAU 05631 chromosome, complete genome",Sinorhizobium sp. CCBAU 05631,794846,114,114,91%,2e-21,78.26,4018433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023063.1?report=genbank&log$=nucltop&blast_rank=43&RID=UUVAKDDR01R"",""CP023063.1"")"
"Shinella sp. HZN7, complete genome",Shinella sp. HZN7,879274,112,112,88%,2e-20,78.36,4678597,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP015736.1?report=genbank&log$=nucltop&blast_rank=44&RID=UUVAKDDR01R"",""CP015736.1"")"
"Sinorhizobium medicae WSM419, complete genome",Sinorhizobium medicae WSM419,366394,111,111,90%,2e-20,77.94,3781904,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP000738.1?report=genbank&log$=nucltop&blast_rank=45&RID=UUVAKDDR01R"",""CP000738.1"")"
"Sinorhizobium fredii CCBAU 83666 chromosome, complete genome",Sinorhizobium fredii CCBAU 83666,1128334,106,106,90%,9e-19,77.21,3986633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023070.1?report=genbank&log$=nucltop&blast_rank=46&RID=UUVAKDDR01R"",""CP023070.1"")"
"Sinorhizobium americanum strain CFNEI 73, complete genome",Sinorhizobium americanum,194963,105,105,91%,9e-19,76.81,3764724,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP013107.1?report=genbank&log$=nucltop&blast_rank=47&RID=UUVAKDDR01R"",""CP013107.1"")"
"Sinorhizobium americanum CCGM7, complete genome",Sinorhizobium americanum CCGM7,1408224,105,105,91%,9e-19,76.81,3650564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP013051.1?report=genbank&log$=nucltop&blast_rank=48&RID=UUVAKDDR01R"",""CP013051.1"")"
"Sinorhizobium fredii USDA 257, complete genome",Sinorhizobium fredii USDA 257,1185652,105,105,91%,9e-19,76.81,6476459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP003563.1?report=genbank&log$=nucltop&blast_rank=49&RID=UUVAKDDR01R"",""CP003563.1"")"
"Rhizobium leguminosarum bv. trifolii CB782, complete genome",Rhizobium leguminosarum bv. trifolii CB782,1033991,104,104,90%,3e-18,76.64,4378440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP007067.1?report=genbank&log$=nucltop&blast_rank=50&RID=UUVAKDDR01R"",""CP007067.1"")"
"Agrobacterium rhizogenes strain A4 chromosome 1, complete sequence",Agrobacterium rhizogenes,359,104,104,90%,3e-18,76.64,4013078,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP073110.1?report=genbank&log$=nucltop&blast_rank=51&RID=UUVAKDDR01R"",""CP073110.1"")"
"Agrobacterium rhizogenes strain CA75/95 chromosome 1, complete sequence",Agrobacterium rhizogenes,359,104,104,90%,3e-18,76.64,4026039,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP049213.1?report=genbank&log$=nucltop&blast_rank=52&RID=UUVAKDDR01R"",""CP049213.1"")"
"Agrobacterium rhizogenes strain LBA9402 chromosome 1, complete sequence",Agrobacterium rhizogenes,359,104,104,90%,3e-18,76.64,3958212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP044122.1?report=genbank&log$=nucltop&blast_rank=53&RID=UUVAKDDR01R"",""CP044122.1"")"
"Agrobacterium radiobacter K84 chromosome 1, complete sequence",Agrobacterium radiobacter K84,311403,104,104,90%,3e-18,76.64,4005130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP000628.1?report=genbank&log$=nucltop&blast_rank=54&RID=UUVAKDDR01R"",""CP000628.1"")"
"Agrobacterium tumefaciens strain CFBP6625 chromosome circular, complete sequence",Agrobacterium tumefaciens,358,103,103,88%,1e-17,76.87,3053995,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP039910.1?report=genbank&log$=nucltop&blast_rank=55&RID=UUVAKDDR01R"",""CP039910.1"")"
"Agrobacterium tumefaciens strain 12D1 chromosome circular, complete sequence",Agrobacterium tumefaciens,358,103,103,88%,1e-17,76.87,3027766,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033031.1?report=genbank&log$=nucltop&blast_rank=56&RID=UUVAKDDR01R"",""CP033031.1"")"
"Agrobacterium tumefaciens strain 1D1460 chromosome circular, complete sequence",Agrobacterium tumefaciens,358,103,103,88%,1e-17,76.87,2867449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032926.1?report=genbank&log$=nucltop&blast_rank=57&RID=UUVAKDDR01R"",""CP032926.1"")"
Agrobacterium tumefaciens strain 183 chromosome 1,Agrobacterium tumefaciens,358,103,103,88%,1e-17,76.87,2828967,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP029044.1?report=genbank&log$=nucltop&blast_rank=58&RID=UUVAKDDR01R"",""CP029044.1"")"
"Agrobacterium tumefaciens strain 1D1104 chromosome 1, complete sequence",Agrobacterium tumefaciens,358,103,103,88%,1e-17,76.87,2774783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP081205.1?report=genbank&log$=nucltop&blast_rank=59&RID=UUVAKDDR01R"",""CP081205.1"")"
"Agrobacterium tumefaciens strain EML4 chromosome circular, complete sequence",Agrobacterium tumefaciens,358,103,103,88%,1e-17,76.87,2861634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP058525.1?report=genbank&log$=nucltop&blast_rank=60&RID=UUVAKDDR01R"",""CP058525.1"")"
"Agrobacterium tumefaciens strain 186 chromosome Circular, complete sequence",Agrobacterium tumefaciens,358,102,102,86%,1e-17,77.10,2943916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP042274.1?report=genbank&log$=nucltop&blast_rank=61&RID=UUVAKDDR01R"",""CP042274.1"")"
"Agrobacterium tumefaciens strain BIM B-1315G chromosome circular, complete sequence",Agrobacterium tumefaciens,358,102,102,86%,1e-17,77.10,2922353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP061003.1?report=genbank&log$=nucltop&blast_rank=62&RID=UUVAKDDR01R"",""CP061003.1"")"
"Kinneretia sp. XES5 chromosome, complete genome",Kinneretia sp. XES5,2877940,101,101,88%,4e-17,77.21,4026671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP084752.1?report=genbank&log$=nucltop&blast_rank=63&RID=UUVAKDDR01R"",""CP084752.1"")"
"Ensifer adhaerens strain W2-B9 chromosome 1, complete sequence",Ensifer adhaerens,106592,101,101,91%,4e-17,76.09,4191017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP083349.1?report=genbank&log$=nucltop&blast_rank=64&RID=UUVAKDDR01R"",""CP083349.1"")"
"Ensifer adhaerens strain W2-B chromosome 1, complete sequence",Ensifer adhaerens,106592,101,101,91%,4e-17,76.09,4190960,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP083346.1?report=genbank&log$=nucltop&blast_rank=65&RID=UUVAKDDR01R"",""CP083346.1"")"
"Ensifer adhaerens strain W2-A chromosome 1, complete sequence",Ensifer adhaerens,106592,101,101,91%,4e-17,76.09,4191027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP083343.1?report=genbank&log$=nucltop&blast_rank=66&RID=UUVAKDDR01R"",""CP083343.1"")"
"Sinorhizobium fredii NGR234, complete genome",Sinorhizobium fredii NGR234,394,101,101,91%,4e-17,76.09,3925702,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP001389.1?report=genbank&log$=nucltop&blast_rank=67&RID=UUVAKDDR01R"",""CP001389.1"")"
"Rhizobium oryzihabitans strain M15 chromosome M15-11, complete sequence",Rhizobium oryzihabitans,2267833,94.2,94.2,88%,6e-15,75.37,3195345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP048632.1?report=genbank&log$=nucltop&blast_rank=68&RID=UUVAKDDR01R"",""CP048632.1"")"
"Agrobacterium sp. T29 chromosome circular, complete sequence",Agrobacterium sp. T29,2580515,94.2,94.2,88%,6e-15,75.37,3009322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP040640.1?report=genbank&log$=nucltop&blast_rank=69&RID=UUVAKDDR01R"",""CP040640.1"")"
"Agrobacterium tumefaciens strain CFBP6626 chromosome circular, complete sequence",Agrobacterium tumefaciens,358,94.2,94.2,88%,6e-15,75.37,2911401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP039916.1?report=genbank&log$=nucltop&blast_rank=70&RID=UUVAKDDR01R"",""CP039916.1"")"
"Sinorhizobium sp. BG8 chromosome, complete genome",Sinorhizobium sp. BG8,2613773,94.2,94.2,88%,6e-15,75.37,4528967,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP044011.1?report=genbank&log$=nucltop&blast_rank=71&RID=UUVAKDDR01R"",""CP044011.1"")"
"Shinella sp. PSBB067 plasmid unnamed1, complete sequence",Shinella sp. PSBB067,2715959,94.2,94.2,90%,6e-15,76.09,4605385,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP069303.1?report=genbank&log$=nucltop&blast_rank=72&RID=UUVAKDDR01R"",""CP069303.1"")"
"Rhizobium jaguaris strain CCGE525 chromosome, complete genome",Rhizobium jaguaris,1312183,92.4,92.4,91%,2e-14,74.64,4575315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032694.1?report=genbank&log$=nucltop&blast_rank=73&RID=UUVAKDDR01R"",""CP032694.1"")"
"Neorhizobium sp. NCHU2750 chromosome, complete genome",Neorhizobium sp. NCHU2750,1825976,90.6,90.6,84%,7e-14,76.92,4319396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP030827.1?report=genbank&log$=nucltop&blast_rank=74&RID=UUVAKDDR01R"",""CP030827.1"")"
"Rhizobium tropici CIAT 899, complete genome",Rhizobium tropici CIAT 899,698761,90.6,90.6,94%,7e-14,75.52,3837060,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP004015.1?report=genbank&log$=nucltop&blast_rank=75&RID=UUVAKDDR01R"",""CP004015.1"")"
"Rhizobium leguminosarum bv. trifolii WSM2304 chromosome, complete genome",Rhizobium leguminosarum bv. trifolii WSM2304,395492,90.6,90.6,90%,7e-14,74.45,4537948,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP001191.1?report=genbank&log$=nucltop&blast_rank=76&RID=UUVAKDDR01R"",""CP001191.1"")"
"Rhizobium sp. X9 chromosome 1, complete sequence",Rhizobium sp. X9,2815360,89.7,89.7,88%,7e-14,74.63,3145177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071311.1?report=genbank&log$=nucltop&blast_rank=77&RID=UUVAKDDR01R"",""CP071311.1"")"
"Agrobacterium rubi strain W2/73 chromosome 1, complete sequence",Agrobacterium rubi,28099,89.7,89.7,88%,7e-14,74.63,2967242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP049206.1?report=genbank&log$=nucltop&blast_rank=78&RID=UUVAKDDR01R"",""CP049206.1"")"
"Rhizobium lusitanum strain 629 chromosome, complete genome",Rhizobium lusitanum,293958,89.7,89.7,96%,7e-14,73.97,3912407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP050308.1?report=genbank&log$=nucltop&blast_rank=79&RID=UUVAKDDR01R"",""CP050308.1"")"
"Rhizobium sp. 11515TR chromosome, complete genome",Rhizobium sp. 11515TR,2028343,88.7,88.7,98%,2e-13,73.65,4003789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022998.1?report=genbank&log$=nucltop&blast_rank=80&RID=UUVAKDDR01R"",""CP022998.1"")"
"Shinella zoogloeoides strain ATCC 19623 chromosome, complete genome",Shinella zoogloeoides,352475,86.9,86.9,96%,9e-13,73.65,3991891,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP086610.1?report=genbank&log$=nucltop&blast_rank=81&RID=UUVAKDDR01R"",""CP086610.1"")"
"Rhizobium hidalgonense strain JKLM 19E chromosome, complete genome",Rhizobium hidalgonense,1538159,86.0,86.0,90%,9e-13,73.72,4373438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054027.1?report=genbank&log$=nucltop&blast_rank=82&RID=UUVAKDDR01R"",""CP054027.1"")"
"Rhizobium sp. WYJ-E13 chromosome, complete genome",Rhizobium sp. WYJ-E13,2849093,86.0,86.0,90%,9e-13,73.72,4350227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP076853.1?report=genbank&log$=nucltop&blast_rank=83&RID=UUVAKDDR01R"",""CP076853.1"")"
"Rhizobium bangladeshense strain PLR8-1a chromosome, complete genome",Rhizobium bangladeshense,1138189,86.0,86.0,90%,9e-13,73.72,4343326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071618.1?report=genbank&log$=nucltop&blast_rank=84&RID=UUVAKDDR01R"",""CP071618.1"")"
"Rhizobium bangladeshense strain BLR175 chromosome, complete genome",Rhizobium bangladeshense,1138189,86.0,86.0,90%,9e-13,73.72,4365990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071612.1?report=genbank&log$=nucltop&blast_rank=85&RID=UUVAKDDR01R"",""CP071612.1"")"
"Agrobacterium sp. CGMCC 11546 chromosome 1, complete sequence",Agrobacterium sp. CGMCC 11546,2579248,85.1,85.1,88%,3e-12,73.88,3036316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP047387.1?report=genbank&log$=nucltop&blast_rank=86&RID=UUVAKDDR01R"",""CP047387.1"")"
"Agrobacterium tumefaciens strain CFBP7129 chromosome circular, complete sequence",Agrobacterium tumefaciens,358,85.1,85.1,88%,3e-12,73.88,2848410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP039922.1?report=genbank&log$=nucltop&blast_rank=87&RID=UUVAKDDR01R"",""CP039922.1"")"
