Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ralstonia solanacearum strain T11 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1883805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022777.1?report=genbank&log$=nucltop&blast_rank=11&RID=UUTDGZXG013"",""CP022777.1"")"
"Ralstonia solanacearum strain T12 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1988373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022775.1?report=genbank&log$=nucltop&blast_rank=12&RID=UUTDGZXG013"",""CP022775.1"")"
"Ralstonia solanacearum strain T51 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1883756,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022771.1?report=genbank&log$=nucltop&blast_rank=13&RID=UUTDGZXG013"",""CP022771.1"")"
"Ralstonia solanacearum strain T82 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1988569,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022764.1?report=genbank&log$=nucltop&blast_rank=14&RID=UUTDGZXG013"",""CP022764.1"")"
"Ralstonia solanacearum strain T95 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1884412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022762.1?report=genbank&log$=nucltop&blast_rank=15&RID=UUTDGZXG013"",""CP022762.1"")"
"Ralstonia solanacearum strain T98 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1986282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022760.1?report=genbank&log$=nucltop&blast_rank=16&RID=UUTDGZXG013"",""CP022760.1"")"
"Ralstonia solanacearum strain T101 plasmid unnamed, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1988531,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022758.1?report=genbank&log$=nucltop&blast_rank=17&RID=UUTDGZXG013"",""CP022758.1"")"
Blood disease bacterium A2-HR MARDI chromosome,blood disease bacterium A2-HR MARDI,1944648,57.2,57.2,30%,4e-04,86.96,3603719,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019911.1?report=genbank&log$=nucltop&blast_rank=18&RID=UUTDGZXG013"",""CP019911.1"")"
"Ralstonia solanacearum strain KACC 10722 plasmid, complete sequence",Ralstonia solanacearum,305,57.2,57.2,30%,4e-04,86.96,1883432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP014703.1?report=genbank&log$=nucltop&blast_rank=19&RID=UUTDGZXG013"",""CP014703.1"")"
Ralstonia sp. isolate bin465 chromosome,Ralstonia sp.,54061,57.2,57.2,30%,4e-04,86.96,4795847,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP070721.1?report=genbank&log$=nucltop&blast_rank=20&RID=UUTDGZXG013"",""CP070721.1"")"
"Ralstonia syzygii strain LLRS-1 plasmid pLLRS-1, complete sequence",Ralstonia syzygii,28097,57.2,57.2,30%,4e-04,86.96,2046405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP046730.1?report=genbank&log$=nucltop&blast_rank=21&RID=UUTDGZXG013"",""CP046730.1"")"
"Ralstonia syzygii subsp. celebesensis strain UGMSS_Db01 chromosome, complete genome",Ralstonia syzygii subsp. celebesensis,1310168,57.2,57.2,30%,4e-04,86.96,3570277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP068285.1?report=genbank&log$=nucltop&blast_rank=22&RID=UUTDGZXG013"",""CP068285.1"")"
"Ralstonia syzygii R24, genomic contig 00001-1629",Ralstonia syzygii R24,907261,57.2,57.2,30%,4e-04,86.96,916373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FR854090.1?report=genbank&log$=nucltop&blast_rank=23&RID=UUTDGZXG013"",""FR854090.1"")"
"blood disease bacterium R229, genomic contig 00011-1626",blood disease bacterium R229,741978,57.2,57.2,30%,4e-04,86.96,383333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FR854067.1?report=genbank&log$=nucltop&blast_rank=24&RID=UUTDGZXG013"",""FR854067.1"")"
"Ralstonia solanacearum PSI07 megaplasmid mpPSI07, complete sequence",Ralstonia solanacearum PSI07,859657,57.2,57.2,30%,4e-04,86.96,2085000,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FP885891.2?report=genbank&log$=nucltop&blast_rank=25&RID=UUTDGZXG013"",""FP885891.2"")"
"Massilia sp. YMA4 chromosome, complete genome",Massilia sp. YMA4,1593482,51.8,51.8,41%,0.018,78.12,6328781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP030092.1?report=genbank&log$=nucltop&blast_rank=26&RID=UUTDGZXG013"",""CP030092.1"")"



		


